palabras_comparadas,palabras_descartadas,errores_palabra,errores_bit,Pep,Peb,P_descartadas,P_error_no_detectado_sobre_total,EbfN0_db,sindromes_no_nulos,palabras_corregidas
100000,0,49561,121122,0.49561,0.121122,0.0,0.49561,0.0,80434,76869
100000,0,42997,102937,0.42997,0.102937,0.0,0.42997,0.5,76683,73478
100000,0,35828,84025,0.35828,0.084025,0.0,0.35828,1.0,72215,69518
100000,0,29834,68876,0.29834,0.068876,0.0,0.29834,1.5,67246,64939
100000,0,23600,53921,0.236,0.053921,0.0,0.236,2.0,61360,59585
100000,0,18067,40848,0.18067,0.040848,0.0,0.18067,2.5,54603,53192
100000,0,13344,29451,0.13344,0.029451,0.0,0.13344,3.0,47973,46962
100000,0,9229,20072,0.09229,0.020072,0.0,0.09229,3.5,40692,39955
100000,0,6057,13111,0.06057,0.013111,0.0,0.06057,4.0,33707,33257
100000,0,3796,8153,0.03796,0.008153,0.0,0.03796,4.5,27183,26896
100000,0,2213,4734,0.02213,0.004734,0.0,0.02213,5.0,21194,21036
100000,0,1213,2540,0.01213,0.00254,0.0,0.01213,5.5,15837,15715
100000,0,610,1286,0.0061,0.001286,0.0,0.0061,6.0,11342,11286
100000,0,266,572,0.00266,0.000572,0.0,0.00266,6.5,7789,7770
100000,0,131,254,0.00131,0.000254,0.0,0.00131,7.0,5117,5109
100000,0,52,112,0.00052,0.000112,0.0,0.00052,7.5,3107,3104
100000,0,16,34,0.00016,3.4e-05,0.0,0.00016,8.0,1897,1894
100000,0,5,9,5e-05,9e-06,0.0,5e-05,8.5,1063,1062
100000,0,2,5,2e-05,5e-06,0.0,2e-05,9.0,504,504
100000,0,2,5,2e-05,5e-06,0.0,2e-05,9.5,268,268
100000,0,0,0,0.0,0.0,0.0,0.0,10.0,108,108
