palabras_comparadas,palabras_descartadas,errores_palabra,errores_bit,Pep,Peb,P_descartadas,P_error_no_detectado_sobre_total,EbfN0_db,sindromes_no_nulos,palabras_corregidas
1942955,8057045,162631,392683,0.08370291643398843,0.0202106070392778,0.8057045,0.0162631,0.0,8057045,0
2319008,7680992,126404,300705,0.054507789537595386,0.0129669669099891,0.7680992,0.0126404,0.5,7680992,0
2766975,7233025,95493,223842,0.034511695985688345,0.0080897731276936,0.7233025,0.0095493,1.0,7233025,0
3289105,6710895,68414,158312,0.0208001872849909,0.004813224266175753,0.6710895,0.0068414,1.5,6710895,0
3882778,6117222,46465,106075,0.011966947376337252,0.002731935742913965,0.6117222,0.0046465,2.0,6117222,0
4527455,5472545,29772,67213,0.0065758798265250565,0.0014845647278658761,0.5472545,0.0029772,2.5,5472545,0
5214125,4785875,18270,41037,0.003503943614700453,0.0007870352168388751,0.4785875,0.001827,3.0,4785875,0
5919224,4080776,10292,22839,0.0017387414296198285,0.00038584449583256184,0.4080776,0.0010292,3.5,4080776,0
6620197,3379803,5423,11995,0.0008191599132170841,0.0001811879616271238,0.3379803,0.0005423,4.0,3379803,0
7285876,2714124,2642,5838,0.000362619402251699,8.012763324547384e-05,0.2714124,0.0002642,4.5,2714124,0
7893801,2106199,1151,2562,0.00014581061772395834,3.2455847316140855e-05,0.2106199,0.0001151,5.0,2106199,0
8423947,1576053,413,901,4.9026899148344594e-05,1.0695698821466944e-05,0.1576053,4.13e-05,5.5,1576053,0
8866772,1133228,177,386,1.996216887047507e-05,4.35333174237479e-06,0.1133228,1.77e-05,6.0,1133228,0
9220159,779841,61,131,6.615937968097947e-06,1.4207997931489033e-06,0.0779841,6.1e-06,6.5,779841,0
9490653,509347,13,27,1.3697687609061253e-06,2.84490434957426e-07,0.0509347,1.3e-06,7.0,509347,0
9684321,315679,3,4,3.097790748571841e-07,4.130387664762455e-08,0.0315679,3e-07,7.5,315679,0
9813927,186073,1,1,1.0189600961979847e-07,1.0189600961979848e-08,0.0186073,1e-07,8.0,186073,0
9897549,102451,0,0,0.0,0.0,0.0102451,0.0,8.5,102451,0
9947407,52593,0,0,0.0,0.0,0.0052593,0.0,9.0,52593,0
9974898,25102,0,0,0.0,0.0,0.0025102,0.0,9.5,25102,0
9988910,11090,0,0,0.0,0.0,0.001109,0.0,10.0,11090,0
